Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
A791	1	169	1	0	0	-1	-1
2731	0	66	0	1	0	8	0
D069	0	115	1	0	0	-1	-1
2B48	1	30	1	0	0	-1	-1
525A	0	26	1	0	0	-1	-1
67E8	0	163	0	1	0	8	0
8541	1	246	0	1	0	9	1
6937	0	50	1	0	0	-1	-1
6411	0	243	1	0	0	-1	-1
A19F	0	7	1	0	0	-1	-1
9C01	0	173	1	0	0	-1	-1
09CD	0	46	1	0	0	-1	-1
1C35	1	26	1	0	0	-1	-1
2C7C	0	40	1	0	0	-1	-1
200F	0	124	0	1	0	9	0
CE19	0	124	1	0	0	-1	-1
DEBB	1	191	1	0	0	-1	-1
FE8F	0	238	1	0	0	-1	-1
A2CD	0	51	1	0	0	-1	-1
9E81	0	153	1	0	0	-1	-1
2811	0	209	1	0	0	-1	-1
89E5	1	185	1	0	0	-1	-1
E16C	0	28	1	0	0	-1	-1
3C45	1	134	1	0	0	-1	-1
F832	0	91	1	0	0	-1	-1
D862	1	254	1	0	0	-1	-1
FE39	0	38	1	0	0	-1	-1
4822	0	51	1	0	0	-1	-1
2782	0	158	1	0	0	-1	-1
F8E4	0	150	0	0	1	-1	-1
A273	0	164	1	0	0	-1	-1
6408	1	11	1	0	0	-1	-1
CFF0	1	248	0	1	0	9	1
DE24	0	59	1	0	0	-1	-1
CA7E	0	241	1	0	0	-1	-1
632A	0	72	1	0	0	-1	-1
CBED	0	233	1	0	0	-1	-1
B17A	1	69	1	0	0	-1	-1
4FEA	0	199	1	0	0	-1	-1
C75B	1	66	1	0	0	-1	-1
E40E	0	206	0	1	0	9	0
1259	0	146	1	0	0	-1	-1
D050	0	116	1	0	0	-1	-1
212F	0	224	0	1	0	9	0
97B1	1	188	0	1	0	10	1
15B9	0	155	1	0	0	-1	-1
ECBE	1	86	1	0	0	-1	-1
E951	0	116	1	0	0	-1	-1
830F	1	68	1	0	0	-1	-1
95CA	0	217	1	0	0	-1	-1
9CD4	0	183	1	0	0	-1	-1
0D30	0	84	0	1	0	10	0
2C3A	0	231	1	0	0	-1	-1
E722	0	102	1	0	0	-1	-1
046E	0	97	1	0	0	-1	-1
DBCF	0	33	0	1	0	10	0
E44D	0	177	1	0	0	-1	-1
4C2F	1	76	1	0	0	-1	-1
B028	1	40	0	1	0	10	1
4396	0	8	1	0	0	-1	-1
25B1	0	135	1	0	0	-1	-1
7EAE	0	12	1	0	0	-1	-1
7AB6	0	106	0	1	0	11	0
6D0B	0	179	1	0	0	-1	-1
B49C	0	152	1	0	0	-1	-1
628B	0	119	1	0	0	-1	-1
74DB	0	87	1	0	0	-1	-1
6E96	0	61	1	0	0	-1	-1
9714	0	237	1	0	0	-1	-1
D7A8	0	122	1	0	0	-1	-1
2F4B	0	224	1	0	0	-1	-1
1B47	1	64	1	0	0	-1	-1
D8F3	0	70	1	0	0	-1	-1
0D22	0	28	1	0	0	-1	-1
1BD4	0	247	0	0	1	-1	-1
426F	0	38	0	1	0	11	0
DA9A	0	141	1	0	0	-1	-1
5FAE	1	38	1	0	0	-1	-1
8CFC	0	156	0	1	0	11	0
B745	0	200	1	0	0	-1	-1
A27C	1	148	1	0	0	-1	-1
BB02	0	88	0	1	0	12	0
9D82	0	196	0	1	0	13	0
B71A	0	215	0	0	1	-1	-1
2016	0	228	1	0	0	-1	-1
3CAD	0	65	1	0	0	-1	-1
3ECE	0	128	1	0	0	-1	-1
A572	0	182	1	0	0	-1	-1
6ED6	0	231	1	0	0	-1	-1
640E	0	46	1	0	0	-1	-1
6543	0	89	1	0	0	-1	-1
6B10	0	103	1	0	0	-1	-1
4A46	0	163	0	1	0	13	0
4790	0	114	1	0	0	-1	-1
FEEC	0	147	1	0	0	-1	-1
D4B8	1	23	0	1	0	13	1
A557	0	216	1	0	0	-1	-1
40A7	0	225	1	0	0	-1	-1
213C	1	183	1	0	0	-1	-1
E42C	0	40	1	0	0	-1	-1
234F	0	114	0	1	0	13	0
F386	0	71	1	0	0	-1	-1
8E4E	1	135	1	0	0	-1	-1
AB4A	0	217	1	0	0	-1	-1
DD01	0	161	1	0	0	-1	-1
34F7	0	177	1	0	0	-1	-1
C3A5	1	170	1	0	0	-1	-1
CEFB	0	157	1	0	0	-1	-1
E5B2	0	11	0	1	0	13	0
2EE0	0	176	0	1	0	14	0
2B6C	0	39	1	0	0	-1	-1
0E68	0	241	1	0	0	-1	-1
FC4D	0	64	0	1	0	15	0
6FFF	0	183	1	0	0	-1	-1
A834	0	193	1	0	0	-1	-1
0887	0	226	1	0	0	-1	-1
4675	0	161	1	0	0	-1	-1
7A92	1	11	1	0	0	-1	-1
A3A6	1	256	0	1	0	15	1
76A8	0	140	1	0	0	-1	-1
6E19	0	207	1	0	0	-1	-1
66BD	1	250	1	0	0	-1	-1
5189	0	218	1	0	0	-1	-1
D651	1	212	1	0	0	-1	-1
4571	0	243	0	1	0	15	0
AAC0	0	199	1	0	0	-1	-1
FFE9	0	45	1	0	0	-1	-1
F6A5	0	26	1	0	0	-1	-1
8466	0	164	1	0	0	-1	-1
704A	0	186	1	0	0	-1	-1
3E3E	0	164	1	0	0	-1	-1
F18F	1	254	0	1	0	15	1
E8F3	0	24	1	0	0	-1	-1
F4B2	1	51	1	0	0	-1	-1
08E1	0	5	1	0	0	-1	-1
6F76	0	238	1	0	0	-1	-1
C7EA	0	245	1	0	0	-1	-1
03B0	0	39	0	1	0	15	0
8E7A	0	210	1	0	0	-1	-1
ED0A	0	228	0	1	0	15	0
95DE	0	25	1	0	0	-1	-1
56D6	0	23	1	0	0	-1	-1
DF42	0	248	0	1	0	0	0
DC8D	0	179	1	0	0	-1	-1
5742	0	248	1	0	0	-1	-1
C940	0	102	1	0	0	-1	-1
F9FF	0	168	1	0	0	-1	-1
0C35	0	147	0	1	0	0	0
3D1D	1	29	1	0	0	-1	-1
6EFC	0	164	1	0	0	-1	-1
B7A8	0	46	1	0	0	-1	-1
F9D2	0	33	0	0	1	-1	-1
5FD4	0	64	1	0	0	-1	-1
E80F	0	252	1	0	0	-1	-1
6C67	0	49	0	1	0	0	0
21FE	0	209	1	0	0	-1	-1
BA59	1	169	1	0	0	-1	-1
E200	0	163	1	0	0	-1	-1
B9DA	0	52	0	1	0	0	0
5FE9	0	51	0	0	1	-1	-1
357A	0	248	1	0	0	-1	-1
4A2E	0	1	1	0	0	-1	-1
007B	1	220	1	0	0	-1	-1
321B	0	98	1	0	0	-1	-1
4BD5	0	2	1	0	0	-1	-1
DF6F	0	128	1	0	0	-1	-1
476D	0	68	1	0	0	-1	-1
EE8E	0	159	1	0	0	-1	-1
B8F3	0	67	1	0	0	-1	-1
22D6	0	251	1	0	0	-1	-1
3935	0	175	1	0	0	-1	-1
992A	0	3	1	0	0	-1	-1
DE5C	1	211	1	0	0	-1	-1
980F	0	199	1	0	0	-1	-1
6913	0	79	1	0	0	-1	-1
BB5E	0	35	1	0	0	-1	-1
CB25	0	153	1	0	0	-1	-1
E5A7	1	1	1	0	0	-1	-1
48EA	0	229	1	0	0	-1	-1
5F84	1	134	1	0	0	-1	-1
40AA	1	195	1	0	0	-1	-1
4338	0	68	1	0	0	-1	-1
AE0C	1	84	0	1	0	0	1
94CF	1	15	1	0	0	-1	-1
17C8	0	27	0	1	0	0	0
C6BA	0	178	0	1	0	1	0
C575	1	208	1	0	0	-1	-1
0E8B	0	226	1	0	0	-1	-1
E4DD	0	129	1	0	0	-1	-1
A37A	0	62	1	0	0	-1	-1
EDCF	1	190	1	0	0	-1	-1
8E62	0	159	1	0	0	-1	-1
2848	0	4	1	0	0	-1	-1
68E5	0	122	1	0	0	-1	-1
5D29	0	199	1	0	0	-1	-1
6B0A	0	96	1	0	0	-1	-1
E897	0	40	1	0	0	-1	-1
84A6	0	155	1	0	0	-1	-1
D20D	0	32	1	0	0	-1	-1
AA45	0	161	1	0	0	-1	-1
DBC2	1	44	1	0	0	-1	-1
9DF5	0	110	1	0	0	-1	-1
BDB0	0	180	1	0	0	-1	-1
28C1	1	136	1	0	0	-1	-1
3F41	0	4	0	1	0	1	0
F857	0	105	1	0	0	-1	-1
9DD9	0	225	0	0	1	-1	-1
259E	1	21	1	0	0	-1	-1
3236	0	43	1	0	0	-1	-1
5D76	0	214	1	0	0	-1	-1
7A70	0	163	1	0	0	-1	-1
8972	0	191	1	0	0	-1	-1
7D48	0	92	0	1	0	1	0
C917	0	220	1	0	0	-1	-1
BAC7	0	48	1	0	0	-1	-1
16C6	0	8	1	0	0	-1	-1
8170	0	237	1	0	0	-1	-1
F0C6	1	8	1	0	0	-1	-1
1ED7	0	230	1	0	0	-1	-1
5586	0	221	1	0	0	-1	-1
5E54	1	36	1	0	0	-1	-1
13AB	0	50	1	0	0	-1	-1
DB3A	0	166	1	0	0	-1	-1
B55F	0	161	1	0	0	-1	-1
0E1A	0	205	1	0	0	-1	-1
7409	1	10	1	0	0	-1	-1
32A1	0	247	1	0	0	-1	-1
3C04	0	16	1	0	0	-1	-1
2334	0	96	1	0	0	-1	-1
AC65	0	50	1	0	0	-1	-1
79B4	0	162	1	0	0	-1	-1
2893	0	166	1	0	0	-1	-1
4827	0	108	1	0	0	-1	-1
1E2C	0	251	1	0	0	-1	-1
F074	0	243	1	0	0	-1	-1
